id,lang,path,sr,text
0001,en,en/1.wav,16000,I have been going to that grocery store recently.
0002,en,en/2.wav,16000,We have been watching too much TV lately.
0003,en,en/3.wav,16000,You have been reading that newspaper for two hours.
0004,en,en/4.wav,16000,He has been playing piano for 2 years.
0005,en,en/5.wav,16000,She has been feeling ill.
0006,en,en/6.wav,16000,He had a great army.
0007,en,en/7.wav,16000,There were many others who wanted to become king.
0008,en,en/8.wav,16000,They started plotting against him.
0009,en,en/9.wav,16000,Then they started killing those trusted friends.
0010,en,en/10.wav,16000,People were anxious and unhappy.
0011,zh,zh/11.wav,16000,每个人都有他的作战策略，直到脸上中了一拳。
0012,zh,zh/12.wav,16000,这是我年轻时候住的房子。
0013,zh,zh/13.wav,16000,这首歌使我想起了我年轻的时候。
0014,zh,zh/14.wav,16000,我不允许你用我的钢笔。
0015,zh,zh/15.wav,16000,他走出了房間。
0016,zh,zh/16.wav,16000,寫日記是一個好習慣。
0017,zh,zh/17.wav,16000,今天你要干什么？
0018,es,es/18.wav,16000,Juan es mi hermano.
0019,es,es/19.wav,16000,Mi hermano es taxista.
0020,es,es/20.wav,16000,Ese reloj fue un regalo de mi mujer.
0021,es,es/21.wav,16000,Estás preciosa.
0022,es,es/22.wav,16000,La película que vimos anoche era divertidísima.
0023,es,es/23.wav,16000,Quiero preguntarte algo.
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
